titres,descriptions
Dry January : « Faire une pause dans sa consommation d’alcool permet de gagner du capital santé »,"Alors que débute le « Défi de janvier », encourageant à arrêter l’alcool pendant un mois, le spécialiste en addictologie Mickael Naassila insiste sur les bénéfices d’une réduction, même temporaire, de la consommation, néfaste dès le premier verre."
"Exposition : Giacometti et Dali, histoire d’un projet avorté","L’Institut Giacometti, à Paris, s’intéresse à la tentative de collaboration du sculpteur et du peintre pour le jardin de la Villa Noailles au début des années 1930."
Nouvel An : 20 % de voitures brûlées en moins et aucun « incident notable » selon Gérald Darmanin,Le ministre de l’intérieur s’est félicité dimanche du « climat serein » de la nuit de la Saint-Sylvestre et de la « diminution historique » du nombre de véhicules incendiés.
"Athlétisme : mort de Pierre Carraz, l’entraîneur historique de Christophe Lemaitre","Avec l’ancien professeur d’EPS, qui l’entraînait bénévolement depuis 2005, le coureur était passé sous le seuil mythique des 10 secondes sur 100 mètres en 2010 – une première pour un sprinteur blanc."
"La chanteuse américaine Anita Pointer, membre fondatrice des Pointer Sisters, est morte","L’artiste, qui avait remporté trois Grammy Awards avec ses sœurs dans les années 1970, s’est éteinte samedi à l’âge de 74 ans."
"En Ouganda, une bousculade dans un centre commercial lors du Nouvel An tue au moins neuf personnes","Ces célébrations étaient les premières dans le pays depuis trois ans, après des restrictions liées à la pandémie de Covid-19 et à des problèmes sécuritaires."
"A Montpellier, le MoCo conte l’histoire des musées en exil","Trois collections sont étudiées : le Musée national d’art moderne et contemporain de la Palestine, le Musée de la solidarité Salvador-Allende et Ars Aevi, musée d’art contemporain de Sarajevo."
"Musique latine : nos coups de cœur de l’année 2022, par Le jazz et la salsa","« Le jazz et la salsa », blog spécialisé dans les musiques afro-caribéennes, vous propose sa sélection d’albums de musique latine publiés en 2022."
"Tennis : le retour du duel Nadal-Djokovic, Garcia sur sa lancée… Quelques grands enjeux de la saison 2023","La nouvelle saison de tennis débute dimanche avec le tournoi d’Adélaïde, en Australie. L’occasion de faire un tour d’horizon des principales échéances de l’année."
Quiz : avez-vous bien suivi l’année sportive 2022 ?,"Jeux olympiques et paralympiques d’hiver en Chine, cyclisme, tennis ou rugby… Testez vos connaissances sur l’année sportive écoulée."
Rétrospective vidéo : l’année 2022 en Afrique,"Retour en images sur les événements qui ont marqué l’année, du Maroc à Madagascar en passant par la Tunisie, le Sénégal, le Burkina, le Mali, la Côte d’Ivoire, le Tchad, l’Ethiopie, la RDC et l’Afrique du Sud."
Colombie : accord de cessez-le-feu de six mois entre le gouvernement et les cinq principaux groupes armés,"Le premier gouvernement de gauche de Colombie, entré en fonctions le 7 août, a repris en novembre les pourparlers de paix pour tenter de mettre fin au dernier conflit armé interne du continent."
Le saint suaire de Turin est-il authentique ? Une nouvelle « enquête » relance le débat,"L’écrivain Jean-Christian Petitfils remet sur le métier le saint suaire. Au fil d’un ouvrage qui mêle histoire, science et ésotérisme, il ambitionne de démontrer que le linge a bien enveloppé le corps du Christ après sa crucifixion, nourrissant, sans y mettre fin, un cycle inépuisable d’enquêtes et de contre-enquêtes démarré au XIXe siècle."
"En Afghanistan, une explosion près de l’aéroport militaire de Kaboul fait plusieurs victimes",De nombreux attentats à la bombe et attaques ont été commis depuis le retour au pouvoir des talibans en août 2021.
"Brésil : « Nous allons travailler pour mettre fin à la négation de nos droits », prévient Sonia Guajajara, ministre des peuples indigènes","Activiste influente autochtone, la députée a été nommée à la tête du nouveau ministère créé par Lula, après quatre ans d’opposition farouche à la politique « génocidaire » du président sortant Jair Bolsonaro. Elle a accordé un entretien au « Monde »."
"Zones à faibles émissions : quelles voitures sont interdites, où et pour quelles raisons ?","Dès le début de l’année, les véhicules Crit’Air 5 ou sans vignette ne pourront plus circuler dans les zones à faibles émissions de onze grandes villes françaises."
"Contraception : chez les jeunes, la pilule et le préservatif restent dominants, mais les pratiques s’élargissent","La pilule, utilisée par une majorité de jeunes, est de plus en plus critiquée. Mais lui trouver une alternative n’est pas toujours simple."
"Yannick Trigance : « Pour que certains réussissent à l’école, il n’est pas nécessaire que d’autres échouent »","Démocratiser la réussite scolaire exige des mesures fortes concernant l’orientation des élèves, la formation des enseignants et la mixité sociale affirme, dans une tribune au « Monde », Yannick Trigance, secrétaire national du Parti socialiste, qui réagit aux propositions du ministre de l’éducation Pap Ndiaye."
"Nigel Farage en parfait Anglais, c’est peut-être un détail pour vous…","…mais pas pour Marc Beaugé. Le 26 décembre, Nigel Farage a rejoint le château de Chiddingstone, dans le Kent, pour la traditionnelle chasse du lendemain de Noël. L’homme politique d’extrême droite y était habillé comme une caricature d’Anglais tradi."
"Réforme des retraites, Coupe du monde de rugby, procès Trump… Les grands événements qui nous attendent en 2023","Projet de loi sur l’immigration, international, cinéma, expositions… Voici le calendrier des principaux rendez-vous (connus) de 2023."
Les préservatifs gratuits pour les jeunes en pharmacie à partir du 1er janvier,"Alors que les infections sexuellement transmissibles sont en augmentation, cette mesure est vue d’un bon œil par les spécialistes de santé publique. Mais des détails de son application demeurent flous."
"Etienne-Emile Baulieu, Thomas Pesquet, Marie-Paule Pileni : la promotion du 1er janvier de la Légion d’honneur distingue les scientifiques","Le biologiste Etienne-Emile Baulieu est le seul à être élevé à la dignité de grand’croix, la plus haute distinction. Thomas Pesquet, nommé chevalier en 2019, est promu officier avant les huit ans d’attente réglementaire compte tenu de ses « services exceptionnels »."
"Et si, en 2023, la clé de la crise ukrainienne se trouvait au Moyen-Orient ?","C’est en Syrie, berceau du partenariat entre la Russie et l’Iran, qu’une telle alliance peut être affaiblie, redonnant ainsi à Israël, mais aussi à la Turquie, leur liberté de manœuvre dans le dossier ukrainien."
"L’Asie, entre prudence et empressement de voir revenir les touristes chinois","Si le Japon oblige désormais les voyageurs en provenance de Chine à subir un test de dépistage à leur arrivée, la plupart des pays d’Asie du Sud-Est ont pour l’instant laissé en place les protocoles existants."
Branle-bas de combat à Hongkong avant la réouverture des frontières avec la Chine continentale,"Reprendre les échanges avec la Chine est vital pour l’économie de Hongkong, mais la réouverture suscite également des inquiétudes."
